;name;set_name;cmc;power;toughness;oracle_text
5079;Sonorous Howlbonder;Ikoria: Lair of Behemoths;3.0;2;2;"Menace
Each creature you control with menace can't be blocked except by three or more creatures."
5080;Umori, the Collector;Ikoria: Lair of Behemoths;4.0;4;5;"Companion — Each nonland card in your starting deck shares a card type. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
As Umori, the Collector enters, choose a card type.
Spells you cast of the chosen type cost {1} less to cast."
5081;Yorion, Sky Nomad;Ikoria: Lair of Behemoths;5.0;4;5;"Companion — Your starting deck contains at least twenty cards more than the minimum deck size. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
Flying
When Yorion enters, exile any number of other nonland permanents you own and control. Return those cards to the battlefield at the beginning of the next end step."
5082;Zirda, the Dawnwaker;Ikoria: Lair of Behemoths;3.0;3;3;"Companion — Each permanent card in your starting deck has an activated ability. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
Abilities you activate that aren't mana abilities cost {2} less to activate. This effect can't reduce the mana in that cost to less than one mana.
{1}, {T}: Target creature can't block this turn."
5083;Crystalline Giant;Ikoria: Lair of Behemoths;3.0;3;3;At the beginning of combat on your turn, choose a kind of counter at random that Crystalline Giant doesn't have on it from among flying, first strike, deathtouch, hexproof, lifelink, menace, reach, trample, vigilance, and +1/+1. Put a counter of that kind on Crystalline Giant.
5084;Zilortha, Strength Incarnate;Ikoria: Lair of Behemoths;5.0;7;3;"Trample
Lethal damage dealt to creatures you control is determined by their power rather than their toughness."
5085;Cubwarden;Ikoria: Lair of Behemoths;4.0;3;5;"Mutate {2}{W}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Lifelink
Whenever this creature mutates, create two 1/1 white Cat creature tokens with lifelink."
5086;Huntmaster Liger;Ikoria: Lair of Behemoths;4.0;3;4;"Mutate {2}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, other creatures you control get +X/+X until end of turn, where X is the number of times this creature has mutated."
5087;Majestic Auricorn;Ikoria: Lair of Behemoths;5.0;4;4;"Mutate {3}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Vigilance
Whenever this creature mutates, you gain 4 life."
5088;Vulpikeet;Ikoria: Lair of Behemoths;4.0;2;3;"Mutate {2}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flying
Whenever this creature mutates, put a +1/+1 counter on it."
5089;Archipelagore;Ikoria: Lair of Behemoths;7.0;7;7;"Mutate {5}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, tap up to X target creatures, where X is the number of times this creature has mutated. Those creatures don't untap during their controller's next untap step."
5090;Dreamtail Heron;Ikoria: Lair of Behemoths;5.0;3;4;"Mutate {3}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flying
Whenever this creature mutates, draw a card."
5091;Pouncing Shoreshark;Ikoria: Lair of Behemoths;5.0;4;3;"Mutate {3}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flash
Whenever this creature mutates, you may return target creature an opponent controls to its owner's hand."
5092;Sea-Dasher Octopus;Ikoria: Lair of Behemoths;3.0;2;2;"Mutate {1}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flash
Whenever this creature deals combat damage to a player, draw a card."
5093;Cavern Whisperer;Ikoria: Lair of Behemoths;5.0;4;4;"Mutate {3}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Menace (This creature can't be blocked except by two or more creatures.)
Whenever this creature mutates, each opponent discards a card."
5094;Chittering Harvester;Ikoria: Lair of Behemoths;6.0;4;6;"Mutate {4}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, each opponent sacrifices a creature of their choice."
5095;Dirge Bat;Ikoria: Lair of Behemoths;4.0;3;3;"Mutate {4}{B}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flash
Flying
Whenever this creature mutates, destroy target creature or planeswalker an opponent controls."
5096;Insatiable Hemophage;Ikoria: Lair of Behemoths;4.0;3;3;"Mutate {2}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Deathtouch
Whenever this creature mutates, each opponent loses X life and you gain X life, where X is the number of times this creature has mutated."
5097;Cloudpiercer;Ikoria: Lair of Behemoths;5.0;5;4;"Mutate {3}{R} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Reach
Whenever this creature mutates, you may discard a card. If you do, draw a card."
5098;Everquill Phoenix;Ikoria: Lair of Behemoths;4.0;4;4;"Mutate {3}{R} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flying
Whenever this creature mutates, create a red artifact token named Feather with ""{1}, Sacrifice Feather: Return target Phoenix card from your graveyard to the battlefield tapped."""
5099;Porcuparrot;Ikoria: Lair of Behemoths;4.0;3;4;"Mutate {2}{R} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
{T}: This creature deals X damage to any target, where X is the number of times this creature has mutated."
5100;Auspicious Starrix;Ikoria: Lair of Behemoths;5.0;6;6;"Mutate {5}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, exile cards from the top of your library until you exile X permanent cards, where X is the number of times this creature has mutated. Put those permanent cards onto the battlefield."
5101;Gemrazer;Ikoria: Lair of Behemoths;4.0;4;4;"Mutate {1}{G}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Reach, trample
Whenever this creature mutates, destroy target artifact or enchantment an opponent controls."
5102;Glowstone Recluse;Ikoria: Lair of Behemoths;3.0;2;3;"Mutate {3}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Reach
Whenever this creature mutates, put two +1/+1 counters on it."
5103;Migratory Greathorn;Ikoria: Lair of Behemoths;4.0;3;4;"Mutate {2}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
5104;Boneyard Lurker;Ikoria: Lair of Behemoths;4.0;4;4;"Mutate {2}{B/G}{B/G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, return target permanent card from your graveyard to your hand."
5105;Brokkos, Apex of Forever;Ikoria: Lair of Behemoths;5.0;6;6;"Mutate {2}{U/B}{G}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Trample
You may cast Brokkos, Apex of Forever from your graveyard using its mutate ability."
5106;Illuna, Apex of Wishes;Ikoria: Lair of Behemoths;5.0;6;6;"Mutate {3}{R/G}{U}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flying, trample
Whenever this creature mutates, exile cards from the top of your library until you exile a nonland permanent card. Put that card onto the battlefield or into your hand."
5107;Lore Drakkis;Ikoria: Lair of Behemoths;3.0;2;3;"Mutate {U/R}{U/R} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, return target instant or sorcery card from your graveyard to your hand."
5108;Necropanther;Ikoria: Lair of Behemoths;3.0;3;3;"Mutate {2}{W/B}{W/B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, return target creature card with mana value 3 or less from your graveyard to the battlefield."
5109;Nethroi, Apex of Death;Ikoria: Lair of Behemoths;5.0;5;5;"Mutate {4}{G/W}{B}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Deathtouch, lifelink
Whenever this creature mutates, return any number of target creature cards with total power 10 or less from your graveyard to the battlefield."
5110;Parcelbeast;Ikoria: Lair of Behemoths;4.0;2;4;"Mutate {G}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
{1}, {T}: Look at the top card of your library. If it's a land card, you may put it onto the battlefield. If you don't put the card onto the battlefield, put it into your hand."
5111;Regal Leosaur;Ikoria: Lair of Behemoths;2.0;2;2;"Mutate {1}{R/W}{R/W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, other creatures you control get +2/+1 until end of turn."
5112;Snapdax, Apex of the Hunt;Ikoria: Lair of Behemoths;4.0;3;5;"Mutate {2}{B/R}{W}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Double strike
Whenever this creature mutates, it deals 4 damage to target creature or planeswalker an opponent controls and you gain 4 life."
5113;Trumpeting Gnarr;Ikoria: Lair of Behemoths;3.0;3;3;"Mutate {3}{G/U}{G/U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, create a 3/3 green Beast creature token."
5114;Vadrok, Apex of Thunder;Ikoria: Lair of Behemoths;3.0;3;3;"Mutate {1}{W/U}{R}{R} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flying, first strike
Whenever this creature mutates, you may cast target noncreature card with mana value 3 or less from your graveyard without paying its mana cost."
5115;Drannith Magistrate;Ikoria: Lair of Behemoths;2.0;1;3;Your opponents can't cast spells from anywhere other than their hands.
5116;Lavabrink Venturer;Ikoria: Lair of Behemoths;3.0;3;3;"As Lavabrink Venturer enters, choose odd or even. (Zero is even.)
Lavabrink Venturer has protection from each mana value of the chosen quality."
5117;Luminous Broodmoth;Ikoria: Lair of Behemoths;4.0;3;4;"Flying
Whenever a creature you control without flying dies, return it to the battlefield under its owner's control with a flying counter on it."
5118;Voracious Greatshark;Ikoria: Lair of Behemoths;5.0;5;4;"Flash (You may cast this spell any time you could cast an instant.)
When this creature enters, counter target artifact or creature spell."
5119;Hunted Nightmare;Ikoria: Lair of Behemoths;3.0;4;5;"Menace
When Hunted Nightmare enters, target opponent puts a deathtouch counter on a creature they control."
5120;Yidaro, Wandering Monster;Ikoria: Lair of Behemoths;7.0;8;8;"Trample, haste
Cycling {1}{R}
When you cycle Yidaro, Wandering Monster, shuffle it into your library from your graveyard. If you've cycled a card named Yidaro, Wandering Monster four or more times this game, put it onto the battlefield from your graveyard instead. (Do this before you draw.)"
5121;Kogla, the Titan Ape;Ikoria: Lair of Behemoths;6.0;7;6;"When Kogla, the Titan Ape enters, it fights up to one target creature you don't control.
Whenever Kogla attacks, destroy target artifact or enchantment defending player controls.
{1}{G}: Return target Human you control to its owner's hand. Kogla gains indestructible until end of turn."
5122;Chevill, Bane of Monsters;Ikoria: Lair of Behemoths;2.0;1;3;"Deathtouch
At the beginning of your upkeep, if your opponents control no permanents with bounty counters on them, put a bounty counter on target creature or planeswalker an opponent controls.
Whenever a permanent an opponent controls with a bounty counter on it dies, you gain 3 life and draw a card."
5123;Frondland Felidar;Ikoria: Lair of Behemoths;4.0;3;5;"Vigilance
Creatures you control with vigilance have ""{1}, {T}: Tap target creature."""
5124;General Kudro of Drannith;Ikoria: Lair of Behemoths;3.0;3;3;"Other Humans you control get +1/+1.
Whenever General Kudro of Drannith or another Human you control enters, exile target card from an opponent's graveyard.
{2}, Sacrifice two Humans: Destroy target creature with power 4 or greater."
5125;Kinnan, Bonder Prodigy;Ikoria: Lair of Behemoths;2.0;2;2;"Whenever you tap a nonland permanent for mana, add one mana of any type that permanent produced.
{5}{G}{U}: Look at the top five cards of your library. You may put a non-Human creature card from among them onto the battlefield. Put the rest on the bottom of your library in a random order."
5126;Labyrinth Raptor;Ikoria: Lair of Behemoths;2.0;2;2;"Menace
Whenever a creature you control with menace becomes blocked, defending player sacrifices a creature of their choice that's blocking it.
{B}{R}: Creatures you control with menace get +1/+0 until end of turn."
5127;Quartzwood Crasher;Ikoria: Lair of Behemoths;5.0;6;6;"Trample
Whenever one or more creatures you control with trample deal combat damage to a player, create an X/X green Dinosaur Beast creature token with trample, where X is the amount of damage those creatures dealt to that player."
5128;Rielle, the Everwise;Ikoria: Lair of Behemoths;3.0;0;3;"Rielle, the Everwise gets +1/+0 for each instant and sorcery card in your graveyard.
Whenever you discard one or more cards for the first time each turn, draw that many cards."
5129;Skycat Sovereign;Ikoria: Lair of Behemoths;2.0;1;1;"Flying
Skycat Sovereign gets +1/+1 for each other creature you control with flying.
{2}{W}{U}: Create a 1/1 white Cat Bird creature token with flying."
5130;Slitherwisp;Ikoria: Lair of Behemoths;3.0;3;2;"Flash
Whenever you cast another spell that has flash, you draw a card and each opponent loses 1 life."
5131;Winota, Joiner of Forces;Ikoria: Lair of Behemoths;4.0;4;4;Whenever a non-Human creature you control attacks, look at the top six cards of your library. You may put a Human creature card from among them onto the battlefield tapped and attacking. It gains indestructible until end of turn. Put the rest of the cards on the bottom of your library in a random order.
5132;Fiend Artisan;Ikoria: Lair of Behemoths;2.0;1;1;"This creature gets +1/+1 for each creature card in your graveyard.
{X}{B/G}, {T}, Sacrifice another creature: Search your library for a creature card with mana value X or less, put it onto the battlefield, then shuffle. Activate only as a sorcery."
5133;Gyruda, Doom of Depths;Ikoria: Lair of Behemoths;6.0;6;6;"Companion — Your starting deck contains only cards with even mana values. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
When Gyruda enters, each player mills four cards. Put a creature card with an even mana value from among the milled cards onto the battlefield under your control."
5134;Jegantha, the Wellspring;Ikoria: Lair of Behemoths;5.0;5;5;"Companion — No card in your starting deck has more than one of the same mana symbol in its mana cost. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
{T}: Add {W}{U}{B}{R}{G}. This mana can't be spent to pay generic mana costs."
5135;Kaheera, the Orphanguard;Ikoria: Lair of Behemoths;3.0;3;2;"Companion — Each creature card in your starting deck is a Cat, Elemental, Nightmare, Dinosaur, or Beast card. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
Vigilance
Each other creature you control that's a Cat, Elemental, Nightmare, Dinosaur, or Beast gets +1/+1 and has vigilance."
5136;Keruga, the Macrosage;Ikoria: Lair of Behemoths;5.0;5;4;"Companion — Your starting deck contains only cards with mana value 3 or greater and land cards. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
When Keruga, the Macrosage enters, draw a card for each other permanent you control with mana value 3 or greater."
5137;Lurrus of the Dream-Den;Ikoria: Lair of Behemoths;3.0;3;2;"Companion — Each permanent card in your starting deck has mana value 2 or less. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
Lifelink
Once during each of your turns, you may cast a permanent spell with mana value 2 or less from your graveyard."
5138;Lutri, the Spellchaser;Ikoria: Lair of Behemoths;3.0;3;2;"Companion — Each nonland card in your starting deck has a different name. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
Flash
When Lutri, the Spellchaser enters, if you cast it, copy target instant or sorcery spell you control. You may choose new targets for the copy."
5139;Obosh, the Preypiercer;Ikoria: Lair of Behemoths;5.0;3;5;"Companion — Your starting deck contains only cards with odd mana values and land cards. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
If a source you control with an odd mana value would deal damage to a permanent or player, it deals double that damage to that permanent or player instead."
5140;Umori, the Collector;Ikoria: Lair of Behemoths;4.0;4;5;"Companion — Each nonland card in your starting deck shares a card type. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
As Umori, the Collector enters, choose a card type.
Spells you cast of the chosen type cost {1} less to cast."
5141;Yorion, Sky Nomad;Ikoria: Lair of Behemoths;5.0;4;5;"Companion — Your starting deck contains at least twenty cards more than the minimum deck size. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
Flying
When Yorion enters, exile any number of other nonland permanents you own and control. Return those cards to the battlefield at the beginning of the next end step."
5142;Zirda, the Dawnwaker;Ikoria: Lair of Behemoths;3.0;3;3;"Companion — Each permanent card in your starting deck has an activated ability. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
Abilities you activate that aren't mana abilities cost {2} less to activate. This effect can't reduce the mana in that cost to less than one mana.
{1}, {T}: Target creature can't block this turn."
5143;Crystalline Giant;Ikoria: Lair of Behemoths;3.0;3;3;At the beginning of combat on your turn, choose a kind of counter at random that Crystalline Giant doesn't have on it from among flying, first strike, deathtouch, hexproof, lifelink, menace, reach, trample, vigilance, and +1/+1. Put a counter of that kind on Crystalline Giant.
5144;Flourishing Fox;Ikoria: Lair of Behemoths;1.0;1;1;"Whenever you cycle another card, put a +1/+1 counter on Flourishing Fox.
Cycling {1} ({1}, Discard this card: Draw a card.)"
5145;Sprite Dragon;Ikoria: Lair of Behemoths;2.0;1;1;"Flying, haste
Whenever you cast a noncreature spell, put a +1/+1 counter on Sprite Dragon."
5146;Huntmaster Liger;Ikoria: Lair of Behemoths;4.0;3;4;"Mutate {2}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, other creatures you control get +X/+X until end of turn, where X is the number of times this creature has mutated."
5147;Luminous Broodmoth;Ikoria: Lair of Behemoths;4.0;3;4;"Flying
Whenever a creature you control without flying dies, return it to the battlefield under its owner's control with a flying counter on it."
5148;Pollywog Symbiote;Ikoria: Lair of Behemoths;2.0;1;3;"Each creature spell you cast costs {1} less to cast if it has mutate.
Whenever you cast a creature spell, if it has mutate, draw a card, then discard a card."
5149;Void Beckoner;Ikoria: Lair of Behemoths;8.0;8;8;"Deathtouch
Cycling {2}{B} ({2}{B}, Discard this card: Draw a card.)
When you cycle Void Beckoner, put a deathtouch counter on target creature you control."
5150;Everquill Phoenix;Ikoria: Lair of Behemoths;4.0;4;4;"Mutate {3}{R} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flying
Whenever this creature mutates, create a red artifact token named Feather with ""{1}, Sacrifice Feather: Return target Phoenix card from your graveyard to the battlefield tapped."""
5151;Yidaro, Wandering Monster;Ikoria: Lair of Behemoths;7.0;8;8;"Trample, haste
Cycling {1}{R}
When you cycle Yidaro, Wandering Monster, shuffle it into your library from your graveyard. If you've cycled a card named Yidaro, Wandering Monster four or more times this game, put it onto the battlefield from your graveyard instead. (Do this before you draw.)"
5152;Gemrazer;Ikoria: Lair of Behemoths;4.0;4;4;"Mutate {1}{G}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Reach, trample
Whenever this creature mutates, destroy target artifact or enchantment an opponent controls."
5153;Titanoth Rex;Ikoria: Lair of Behemoths;9.0;11;11;"Trample
Cycling {1}{G} ({1}{G}, Discard this card: Draw a card.)
When you cycle Titanoth Rex, put a trample counter on target creature you control."
5154;Brokkos, Apex of Forever;Ikoria: Lair of Behemoths;5.0;6;6;"Mutate {2}{U/B}{G}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Trample
You may cast Brokkos, Apex of Forever from your graveyard using its mutate ability."
5155;Illuna, Apex of Wishes;Ikoria: Lair of Behemoths;5.0;6;6;"Mutate {3}{R/G}{U}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flying, trample
Whenever this creature mutates, exile cards from the top of your library until you exile a nonland permanent card. Put that card onto the battlefield or into your hand."
5156;Nethroi, Apex of Death;Ikoria: Lair of Behemoths;5.0;5;5;"Mutate {4}{G/W}{B}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Deathtouch, lifelink
Whenever this creature mutates, return any number of target creature cards with total power 10 or less from your graveyard to the battlefield."
5157;Snapdax, Apex of the Hunt;Ikoria: Lair of Behemoths;4.0;3;5;"Mutate {2}{B/R}{W}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Double strike
Whenever this creature mutates, it deals 4 damage to target creature or planeswalker an opponent controls and you gain 4 life."
5158;Sprite Dragon;Ikoria: Lair of Behemoths;2.0;1;1;"Flying, haste
Whenever you cast a noncreature spell, put a +1/+1 counter on Sprite Dragon."
5159;Vadrok, Apex of Thunder;Ikoria: Lair of Behemoths;3.0;3;3;"Mutate {1}{W/U}{R}{R} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flying, first strike
Whenever this creature mutates, you may cast target noncreature card with mana value 3 or less from your graveyard without paying its mana cost."
5160;Gyruda, Doom of Depths;Ikoria: Lair of Behemoths;6.0;6;6;"Companion — Your starting deck contains only cards with even mana values. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
When Gyruda enters, each player mills four cards. Put a creature card with an even mana value from among the milled cards onto the battlefield under your control."
5161;Mysterious Egg;Ikoria: Lair of Behemoths;1.0;0;2;Whenever this creature mutates, put a +1/+1 counter on it.
5162;Dirge Bat;Ikoria: Lair of Behemoths;4.0;3;3;"Mutate {4}{B}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flash
Flying
Whenever this creature mutates, destroy target creature or planeswalker an opponent controls."
5163;Crystalline Giant;Ikoria: Lair of Behemoths;3.0;3;3;At the beginning of combat on your turn, choose a kind of counter at random that Crystalline Giant doesn't have on it from among flying, first strike, deathtouch, hexproof, lifelink, menace, reach, trample, vigilance, and +1/+1. Put a counter of that kind on Crystalline Giant.
5164;Alseid of Life's Bounty;Theros Beyond Death;1.0;1;1;"Lifelink
{1}, Sacrifice Alseid of Life's Bounty: Target creature or enchantment you control gains protection from the color of your choice until end of turn."
5165;Archon of Falling Stars;Theros Beyond Death;6.0;4;4;"Flying
When Archon of Falling Stars dies, you may return target enchantment card from your graveyard to the battlefield."
5166;Archon of Sun's Grace;Theros Beyond Death;4.0;3;4;"Flying
Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Pegasus creatures you control have lifelink.
Constellation — Whenever an enchantment you control enters, create a 2/2 white Pegasus creature token with flying."
5167;Captivating Unicorn;Theros Beyond Death;5.0;4;4;Constellation — Whenever an enchantment you control enters, tap target creature an opponent controls.
5168;Dawn Evangel;Theros Beyond Death;3.0;2;3;Whenever a creature dies, if an Aura you controlled was attached to it, return target creature card with mana value 2 or less from your graveyard to your hand.
5169;Daxos, Blessed by the Sun;Theros Beyond Death;2.0;2;*;"Daxos's toughness is equal to your devotion to white. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)
Whenever another creature you control enters or dies, you gain 1 life."
5170;Daybreak Chimera;Theros Beyond Death;5.0;3;3;"This spell costs {X} less to cast, where X is your devotion to white. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)
Flying"
5171;Eidolon of Obstruction;Theros Beyond Death;2.0;2;1;"First strike
Loyalty abilities of planeswalkers your opponents control cost {1} more to activate."
5172;Favored of Iroas;Theros Beyond Death;3.0;2;2;Constellation — Whenever an enchantment you control enters, Favored of Iroas gains double strike until end of turn. (It deals both first-strike and regular combat damage.)
5173;Glory Bearers;Theros Beyond Death;4.0;3;4;Whenever another creature you control attacks, it gets +0/+1 until end of turn.
5174;Heliod, Sun-Crowned;Theros Beyond Death;3.0;5;5;"Indestructible
As long as your devotion to white is less than five, Heliod isn't a creature.
Whenever you gain life, put a +1/+1 counter on target creature or enchantment you control.
{1}{W}: Another target creature gains lifelink until end of turn."
5175;Heliod's Pilgrim;Theros Beyond Death;3.0;1;2;When Heliod's Pilgrim enters, you may search your library for an Aura card, reveal it, put it into your hand, then shuffle.
5176;Hero of the Pride;Theros Beyond Death;2.0;2;2;Whenever you cast a spell that targets Hero of the Pride, creatures you control get +1/+0 until end of turn.
5177;Hero of the Winds;Theros Beyond Death;4.0;1;4;"Flying
Whenever you cast a spell that targets Hero of the Winds, creatures you control get +1/+0 until end of turn."
5178;Lagonna-Band Storyteller;Theros Beyond Death;4.0;3;4;When Lagonna-Band Storyteller enters, you may put target enchantment card from your graveyard on top of your library. If you do, you gain life equal to its mana value.
5179;Leonin of the Lost Pride;Theros Beyond Death;2.0;3;1;When Leonin of the Lost Pride dies, exile target card from an opponent's graveyard.
5180;Nyxborn Courser;Theros Beyond Death;3.0;2;4;
5181;Pious Wayfarer;Theros Beyond Death;1.0;1;2;Constellation — Whenever an enchantment you control enters, target creature gets +1/+1 until end of turn.
5182;Reverent Hoplite;Theros Beyond Death;5.0;1;2;When Reverent Hoplite enters, create a number of 1/1 white Human Soldier creature tokens equal to your devotion to white. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)
5183;Rumbling Sentry;Theros Beyond Death;5.0;3;6;When Rumbling Sentry enters, scry 1.
5184;Sunmane Pegasus;Theros Beyond Death;4.0;2;3;"Flying
{1}{W}: Sunmane Pegasus gains vigilance and lifelink until end of turn. (Attacking doesn't cause it to tap. Damage dealt by it also causes you to gain that much life.)"
5185;Taranika, Akroan Veteran;Theros Beyond Death;3.0;3;3;"Vigilance
Whenever Taranika, Akroan Veteran attacks, untap another target creature you control. Until end of turn, that creature has base power and toughness 4/4 and gains indestructible."
5186;Transcendent Envoy;Theros Beyond Death;2.0;1;2;"Flying
Aura spells you cast cost {1} less to cast."
5187;Alirios, Enraptured;Theros Beyond Death;3.0;2;3;"Alirios, Enraptured enters tapped.
Alirios doesn't untap during your untap step if you control a Reflection.
When Alirios enters, create a 3/2 blue Reflection creature token."
5188;Brine Giant;Theros Beyond Death;7.0;5;6;This spell costs {1} less to cast for each enchantment you control.
5189;Callaphe, Beloved of the Sea;Theros Beyond Death;3.0;*;3;"Callaphe's power is equal to your devotion to blue. (Each {U} in the mana costs of permanents you control counts toward your devotion to blue.)
Creatures and enchantments you control have ""Spells your opponents cast that target this permanent cost {1} more to cast."""
5190;Eidolon of Philosophy;Theros Beyond Death;1.0;1;2;{6}{U}, Sacrifice Eidolon of Philosophy: Draw three cards.
5191;Elite Instructor;Theros Beyond Death;3.0;2;2;When Elite Instructor enters, draw a card, then discard a card.
5192;Nadir Kraken;Theros Beyond Death;3.0;2;3;Whenever you draw a card, you may pay {1}. If you do, put a +1/+1 counter on Nadir Kraken and create a 1/1 blue Tentacle creature token.
5193;Naiad of Hidden Coves;Theros Beyond Death;3.0;2;3;During turns other than yours, spells you cast cost {1} less to cast.
5194;Nyxborn Seaguard;Theros Beyond Death;4.0;2;5;
5195;Protean Thaumaturge;Theros Beyond Death;2.0;1;1;Constellation — Whenever an enchantment you control enters, you may have Protean Thaumaturge become a copy of another target creature, except it has this ability.
5196;Riptide Turtle;Theros Beyond Death;2.0;0;5;"Flash
Defender"
5197;Sage of Mysteries;Theros Beyond Death;1.0;0;2;Constellation — Whenever an enchantment you control enters, target player mills two cards.
